Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
001569071,,London,1864,,Life with the Esquimaux: the narrative of Captain C. F. H. ... from the 29th May,HALL,Franklin,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001569071,British Library HMNTS 10460.e.24.
001569074,,Paris,1880,,Deux ans chez les Esquimaux. Voyage de découvertes et d'aventures,HALL,LOREAU,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001569074,British Library HMNTS 10460.ee.12.
001569903,,Leeds,1826,Robinson and Hernaman,On the Catholic claims. A Letter to J. B. S. Morritt,HALL,MORRITT,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001569903,British Library HMNTS 10347.ee.22.(6.)
001570075,,London,[1899],[Privately printed],The English Historical Review and the Red Book of the Exchequer. [A letter addressed to S. R. Gardiner,HALL,Poole,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001570075,British Library HMNTS 9506.df.11.
001570673,,London,1838,G. Willis,Satires and other poems. [Edited by P. H.,HALL,H.,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001570673,British Library HMNTS 11645.ff.23.
001571051,,enk,[1897.],Ascherberg,The geisha,Jones,Hall,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001571051,British Library HMNTS 11781.h.29.(7.)|British Library DSC X26/4868
001571190,,London,[1832?],,Essays,HALL,WRIGHT,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001571190,British Library HMNTS 12271.c.13.
001571486,,London,1861,Virtue & Co.,The Book of South Wales,Hall,Hall,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001571486,British Library HMNTS 10370.pp.1.
001571488,Second edition.,London,1877,,[The book of the Thames.],Hall,Hall,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001571488,British Library HMNTS 10349.dd.16.
001571491,,London,1841-43,,Ireland: its Scenery,Hall,Hall,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001571491,British Library HMNTS 797.i.16-18.
001571493,,Tenby,[1860],,Tenby; its history,Hall,Hall,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001571493,British Library HMNTS 10370.c.17.
001571495,,London,1843,,A Week at Killarney,Hall,Hall,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001571495,British Library HMNTS 797.e.23.
001571496,[Another edition.],London,1850,,[A Week at Killarney.],Hall,Hall,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001571496,British Library HMNTS 10390.d.14.
001571497,[A new edition.],London,1858,,[A Week at Killarney.],Hall,Hall,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001571497,British Library HMNTS 10390.d.15.
001572135,,London,1893,E. Mathews & J. Lane,The Poems of A. H. Hallam,Hallam,Le Gallienne,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001572135,British Library HMNTS 11611.f.28.
001575352,,London,1861,,Agatha: a fanciful flight for a gusty night [in prose and verse]. With illustrations on steel and wood by H. K. Browne,HALSE,BROWNE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001575352,British Library HMNTS 12620.ee.36.
001577540,,Lisboa,1875,,Historia da Revoluçāo Franceza,HAMEL,CARRILHO VIDEIRA,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001577540,British Library HMNTS 9225.k.10.
001577638,,St. Petersburg,1847,,Tradescant der aeltere in Russland. Der Handelsverkehr zwischen England und Russland in seiner Entstehung. Rückblick auf einige der älteren Reisen im Norden,HAMEL,TRADESCANT,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001577638,British Library HMNTS 10290.g.15.
001577639,,London,1854,,England and Russia: comprising the Voyages of J. Tradescant the elder,HAMEL,CHANCELLOR,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001577639,British Library HMNTS 10290.d.7.
